Code,Cod, Nam,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liechtenstein,KIR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,136,131,127,124,121,119,117,115,115,113,112,110,107,104,100,97,94,92,,
Sri Lanka,KNA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Lower middle income,KOR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,17,15,15,16,15,15,14,15,15,16,15,14,13,13,12,12,11,11,,
Low & middle income,KWT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,,
Lesotho,LAC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,98,96,96,95,95,93,92,90,89,90,87,84,82,81,80,79,78,76,,
Late-demographic dividend,LAO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,544,517,491,465,437,410,385,360,336,314,292,272,254,238,223,209,196,185,,
Lithuania,LBN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,28,27,26,25,24,24,24,23,23,23,23,25,25,27,28,29,29,29,,
Luxembourg,LBR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,894,913,1010,878,837,816,782,754,738,724,708,694,683,674,688,691,661,661,,
Latvia,LBY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,70,68,66,64,61,57,55,53,52,53,53,56,55,58,63,70,73,72,,
"Macao SAR, China",LCA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,86,86,90,92,89,83,82,87,93,100,109,116,116,108,104,115,117,117,,
Morocco,LCN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,96,94,94,93,93,90,89,88,87,87,85,82,80,79,78,77,76,74,,
Moldova,LIE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Madagascar,LKA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,56,53,50,50,48,45,47,43,42,41,38,38,37,37,36,36,36,36,,
Maldives,LMC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,428,418,406,394,380,363,348,334,323,313,302,293,285,278,271,265,259,254,,
Middle East & North Africa,LMY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,377,369,361,352,340,326,313,302,292,282,273,265,257,251,246,240,234,230,,
Mexico,LSO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,614,633,653,671,680,679,668,652,623,607,594,585,586,583,579,574,559,544,,
Marshall Islands,LTU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,17,16,14,14,13,14,14,14,13,11,10,10,10,10,9,9,8,8,,
Middle income,LUX,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,10,9,8,8,9,9,8,6,7,8,8,7,6,6,5,5,5,,
North Macedonia,LVA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,34,35,33,34,32,30,32,32,29,28,26,26,23,27,24,23,26,19,,
Mali,MAC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Malta,MAF,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Myanmar,MAR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,188,174,162,152,142,131,121,113,106,99,92,86,81,78,76,74,72,70,,
Middle East & North Africa (excluding high income),MCO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Montenegro,MDA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,44,39,38,36,32,34,31,31,29,28,29,21,22,21,23,22,20,19,,
Mongolia,MDG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,559,552,547,543,539,526,513,503,491,474,453,432,413,394,378,363,348,335,,
Mozambique,MDV,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,125,111,105,97,89,75,71,71,72,71,67,62,60,58,56,54,54,53,,
Mauritania,MEX,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,55,55,56,55,54,54,51,49,49,51,46,43,41,39,38,36,34,33,,
Mauritius,MHL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Malawi,MKD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,13,12,12,10,11,10,10,10,8,8,8,8,8,8,8,8,8,7,,
Malaysia,MLI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,836,797,764,739,715,691,675,663,661,661,660,663,663,663,642,620,590,562,,
North America,MLT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,9,10,9,10,9,8,8,8,8,7,8,7,7,7,6,7,6,6,,
Niger,MMR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,340,331,323,314,307,299,293,287,289,274,265,259,254,251,247,246,245,250,,
Nigeria,MNE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,12,11,11,10,9,9,8,8,8,7,7,7,6,6,6,6,6,,
Netherlands,MNG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,155,138,124,114,106,98,91,85,80,73,66,59,54,51,49,47,46,45,,
Norway,MNP,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Nepal,MOZ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,798,745,700,657,615,577,539,505,471,439,412,389,371,356,339,318,301,289,,
New Zealand,MRT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,834,835,836,836,830,826,821,820,819,822,824,822,812,805,796,785,777,766,,
OECD members,MUS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,59,54,54,57,54,53,55,56,53,59,66,54,63,60,70,73,67,61,,
Oman,MWI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,749,735,714,687,654,610,566,526,493,466,444,428,413,396,381,370,358,349,,
Other small states,MYS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,38,36,34,33,32,31,30,30,29,29,30,30,30,30,30,30,29,29,,
Pakistan,NAC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,12,13,13,13,13,14,14,14,14,14,15,15,15,16,17,18,18,,
Panama,NAM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,348,352,356,359,358,346,328,306,284,276,266,256,240,231,223,217,207,195,,
Peru,NCL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Philippines,NER,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,813,803,795,782,770,755,739,725,709,688,663,639,616,594,573,555,530,509,,
Palau,NGA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1200,1200,1180,1170,1130,1080,1040,1010,996,987,978,972,963,951,943,931,925,917,,
Poland,NIC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,162,157,151,145,138,131,124,121,116,113,112,110,108,105,103,101,100,98,,
Pre-demographic dividend,NLD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,13,13,13,12,11,11,9,9,8,8,7,7,7,6,6,6,6,5,,
Puerto Rico,NOR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,,
"Korea, Dem. People’s Rep.",NPL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,553,521,520,470,447,415,386,361,342,323,305,285,266,248,231,236,200,186,,
Portugal,NRU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Paraguay,NZL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,11,12,12,11,11,11,11,10,11,11,10,10,9,10,10,10,9,,
West Bank and Gaza,OMN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,20,20,20,20,19,19,18,18,18,18,18,18,18,18,18,19,19,19,,
Pacific island small states,PAK,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,286,275,264,254,243,237,222,214,205,199,191,180,173,166,161,154,143,140,,
Post-demographic dividend,PAN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,91,86,91,93,88,88,88,86,84,82,79,76,74,66,60,58,55,52,,
Qatar,PER,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,144,138,132,127,122,118,114,112,108,106,104,102,100,98,96,94,91,88,,
Romania,PHL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,160,163,160,156,156,156,156,149,148,149,144,141,139,136,131,127,124,121,,
Russian Federation,PLW,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Rwanda,PNG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,249,242,234,225,213,200,187,179,173,170,168,166,164,160,155,151,148,145,,
South Asia,POL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,,
Saudi Arabia,PRE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,896,874,853,831,800,766,738,713,692,674,656,640,626,613,603,587,575,563,,
Sudan,PRI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,26,26,24,23,25,23,23,23,23,23,21,22,19,20,21,20,20,21,,
Senegal,PRK,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,139,128,122,121,120,120,120,119,118,113,106,100,96,94,93,91,90,89,,
Singapore,PRT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,9,9,8,,
El Salvador,PRY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,194,191,188,185,180,174,168,163,158,153,148,145,141,138,135,132,130,129,,
San Marino,PSE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,70,69,70,66,64,59,58,56,53,50,45,42,40,36,37,32,29,27,,
Serbia,PST,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,
Sub-Saharan Africa (excluding high income),PYF,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,QAT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,14,14,13,13,13,12,11,11,11,10,10,10,10,10,10,9,9,9,,
Small states,ROU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,54,49,47,43,39,35,32,30,28,28,27,24,23,21,21,21,21,19,,
Sao Tome and Principe,RUS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,56,53,51,49,45,42,36,32,30,27,25,23,22,20,19,18,18,17,,
Slovak Republic,RWA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1160,1100,961,870,758,643,541,469,427,424,373,349,329,308,291,275,260,248,,
Slovenia,SAS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,395,379,361,344,327,309,293,278,263,249,235,222,210,199,190,179,169,163,,
Sweden,SAU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,24,24,23,23,22,22,21,21,20,20,19,18,18,17,17,17,17,17,,
Eswatini,SDN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,667,645,614,598,580,529,508,479,454,433,408,390,368,349,333,320,308,295,,
Sint Maarten (Dutch part),SEN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,553,545,537,532,526,519,514,504,492,472,447,423,400,381,364,346,330,315,,
Seychelles,SGP,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,13,13,14,13,14,13,13,12,11,10,10,10,10,9,8,9,8,8,,
Syrian Arab Republic,SLB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,245,233,222,210,199,188,177,172,159,152,141,134,127,122,120,112,108,104,,
Chad,SLE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,2480,2250,2080,1960,1850,1760,1680,1610,1530,1450,1360,1270,1210,1180,1190,1180,1120,1120,,
East Asia & Pacific (IDA & IBRD countries),SLV,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,73,75,68,66,64,62,60,58,57,57,54,53,52,50,49,48,47,46,,
Europe & Central Asia (IDA & IBRD countries),SMR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Togo,SOM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1210,1170,1140,1100,1080,1040,1040,1030,1010,994,985,955,943,893,878,855,865,829,,
Thailand,SRB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,12,12,,
Tajikistan,SSD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1730,1690,1660,1610,1550,1480,1410,1330,1250,1170,1100,1070,1050,1090,1140,1110,1130,1150,,
Turkmenistan,STP,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,179,173,169,167,166,163,158,154,150,145,140,137,134,132,131,130,130,130,,
Latin America & the Caribbean (IDA & IBRD countries),SUR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,221,218,207,189,176,164,165,167,169,159,148,139,134,129,124,122,121,120,,
Timor-Leste,SVK,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,8,8,7,7,7,7,6,7,6,6,6,6,6,6,5,6,6,5,,
Middle East & North Africa (IDA & IBRD countries),SVN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,10,11,10,11,10,8,8,8,8,8,8,7,7,7,7,7,7,,
South Asia (IDA & IBRD),SWE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,,
Sub-Saharan Africa (IDA & IBRD countries),SWZ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,521,528,534,538,539,532,518,496,474,460,450,441,435,432,434,435,436,437,,
Tunisia,SXM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Tanzania,SYC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,53,54,54,54,55,55,55,55,55,55,55,55,55,55,55,54,54,53,,
Uganda,SYR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,26,26,26,25,26,25,26,26,26,26,27,28,28,29,30,30,30,31,,
Ukraine,TCA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Upper middle income,TCD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1420,1410,1400,1370,1350,1330,1340,1300,1310,1270,1240,1210,1190,1170,1170,1160,1140,1140,,
Uruguay,TGO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,489,489,489,489,488,492,482,480,473,458,440,422,410,404,401,398,395,396,,
United States,THA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,43,43,44,44,46,43,42,42,43,43,42,41,39,39,38,38,37,37,,
Uzbekistan,TJK,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,53,52,43,35,33,32,29,27,26,26,23,22,21,20,19,18,17,17,,
St. Vincent and the Grenadines,TKM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,29,27,25,21,20,18,18,15,13,12,10,10,9,9,8,8,8,7,,
"Venezuela, RB",TLA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,97,95,95,94,94,91,90,89,88,88,85,82,81,79,78,77,76,75,,
British Virgin Islands,TLS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,745,720,668,603,507,415,348,300,269,242,219,198,185,176,168,160,152,142,,
Vietnam,TON,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,77,73,71,69,67,66,64,62,60,61,57,56,56,56,55,54,53,52,,
World,TSA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,395,379,361,344,327,309,293,278,263,249,235,222,210,199,190,179,169,163,,
"Yemen, Rep.",TSS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,870,849,833,812,782,746,713,685,664,645,626,610,596,582,571,557,545,534,,
South Africa,TTO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,81,78,74,75,76,76,73,65,72,74,71,72,71,70,69,68,68,67,,
Zambia,TUN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,66,63,60,57,54,51,49,47,47,46,46,46,46,46,46,46,45,43,,
Zimbabwe,TUR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,42,41,39,38,35,33,30,28,27,25,24,23,22,20,19,19,18,17,,
